doy,year,tmax,tmin
207,2040,31.22753214,23.00792545
207,2041,34.58924087,25.25096002
207,2042,36.36989672,25.92274284
207,2043,36.71277201,22.55876088
207,2044,36.19450682,25.47376823
207,2045,36.61520353,22.81568589
207,2046,33.19227467,25.13486023
207,2047,34.21583354,21.80566034
207,2048,33.99732814,23.90183091
207,2049,36.86538322,26.48768425
207,2050,35.38523023,24.67047992
207,2051,30.38753408,23.7058871
207,2052,37.85942585,24.54794935
207,2053,37.86135764,22.48698169
207,2054,32.45556416,20.16833665
207,2055,34.35608376,24.92127499
207,2056,33.64715631,22.63454209
207,2057,39.41902542,22.85902524
207,2058,33.44508171,25.47010612
207,2059,27.72715013,24.23936896
207,2060,31.49817675,22.40444524
207,2061,29.24137183,23.41881948
207,2062,35.43483389,24.95351427
207,2063,35.01666396,24.73225302
207,2064,32.40356366,24.7635328
207,2065,35.14958025,23.11609945
207,2066,30.44605831,25.46986198
207,2067,32.3987881,26.74232292
207,2068,35.92452964,26.87074089
207,2069,35.73116792,25.64808464
208,2040,31.03081363,23.04514879
208,2041,34.16170657,25.43614398
208,2042,35.34648654,25.21603413
208,2043,34.25472842,22.50479865
208,2044,35.44510683,25.31160057
208,2045,34.96034349,23.62303237
208,2046,33.6303224,26.15321159
208,2047,35.61944438,22.43501434
208,2048,26.14040064,23.05573068
208,2049,33.39589382,26.28236198
208,2050,37.06628911,23.86050662
208,2051,31.4463186,23.47722532
208,2052,35.1615741,24.99765138
208,2053,38.09758764,23.16819052
208,2054,34.53090391,21.88022232
208,2055,35.65549702,25.85536003
208,2056,34.46291809,23.58044662
208,2057,41.06038284,23.24603352
208,2058,33.45747839,25.0865013
208,2059,31.69593212,24.99937849
208,2060,33.63591694,22.55876088
208,2061,31.15624841,22.58015583
208,2062,35.08023782,24.52161904
208,2063,33.11213138,25.32676071
208,2064,36.47103722,25.56702995
208,2065,35.27840306,23.37543908
208,2066,33.62882613,25.32100369
208,2067,35.00749055,26.28407097
208,2068,36.55888156,25.68934441
208,2069,37.19599484,27.89588737
209,2040,31.65746129,22.41220158
209,2041,35.38244185,25.41042931
209,2042,34.51079458,27.39393425
209,2043,35.89162194,22.17364834
209,2044,35.07362444,25.37723053
209,2045,28.77599374,24.34229762
209,2046,34.7142907,26.67201042
209,2047,36.25844794,22.61451815
209,2048,27.05701187,23.59117909
209,2049,32.06053661,25.8809948
209,2050,38.32277887,24.0137498
209,2051,29.27662527,23.59095234
209,2052,37.4890746,23.32104704
209,2053,37.08698684,23.52423644
209,2054,35.62182148,22.69788288
209,2055,37.16481027,25.72035027
209,2056,36.40859006,23.40744707
209,2057,40.37239456,26.04798698
209,2058,36.40380941,24.12423136
209,2059,35.30627529,23.7418651
209,2060,31.82573455,21.91978532
209,2061,33.53739242,24.072125
209,2062,34.19218963,24.27895382
209,2063,34.29307909,23.69859036
209,2064,36.41815135,23.12526195
209,2065,36.73264182,23.71267813
209,2066,31.19374985,25.1647967
209,2067,32.49854417,25.78285027
209,2068,38.02969911,24.12027046
209,2069,36.50345597,26.86390495
210,2040,34.0047636,23.2248038
210,2041,36.63671643,24.55500518
210,2042,35.34032277,25.11586208
210,2043,36.01937397,23.15569455
210,2044,33.62171883,24.98901586
210,2045,30.83751204,24.82647615
210,2046,34.25942442,25.17304842
210,2047,37.33922308,22.69434331
210,2048,31.81083129,24.3665628
210,2049,31.77705975,26.36195183
210,2050,38.78474808,24.03249864
210,2051,26.64090025,23.74836715
210,2052,38.04598132,24.35692556
210,2053,35.10649125,23.58864713
210,2054,37.7716675,22.92707308
210,2055,35.97947636,26.38441277
210,2056,37.703503,24.55517728
210,2057,31.99789295,26.93934441
210,2058,33.44277946,24.88251109
210,2059,35.71650916,25.66029167
210,2060,32.40329835,21.97255986
210,2061,31.96992554,24.73493962
210,2062,34.93047657,24.12539633
210,2063,34.5482258,23.49070518
210,2064,34.89409691,23.58055999
210,2065,37.38393016,24.20199441
210,2066,30.69562064,24.57169825
210,2067,34.15252257,23.61981747
210,2068,33.61180602,23.51054805
210,2069,37.26139965,25.12833561
211,2040,35.33283819,23.54280597
